490	396.147	39.5989	3.26047	3.89389	15.412	1	
490	342.737	53.8001	1.0576	5.58756	17.8218	1	
490	366.81	55.6611	8.20786	1.76333	25.4252	1	
490	338.68	67.2818	1.45753	3.80159	15.0154	1	
490	392.448	62.6459	4.11536	0.473508	13.9635	1	
490	391.432	74.1287	7.66537	1.456	25.248	1	
490	339.143	81.3272	1.61507	3.22147	11.4752	1	
490	352.396	95.1418	4.11805	2.10204	14.5842	1	
490	404.597	92.0478	2.18067	0.928341	11.0388	1	
490	399.036	95.1616	5.51609	1.08928	18.8927	1	
490	389.011	102.978	2.23958	1.40089	11.4508	1	
490	394.471	107.008	2.09715	0.370168	9.73026	1	
490	361.363	119.444	2.74368	6.08162	23.9144	1	
490	390.617	111.742	2.70569	0.263145	9.95052	1	
490	351.393	120.586	7.39602	2.35577	22.9023	1	
490	736.516	16.9326	1.90807	2.13439	10.6787	2	
490	790.564	93.1452	3.44683	1.26302	12.3229	2	
490	785.951	155.042	1.39897	12.7626	42.1313	2	
490	883.942	99.1214	1.45319	1.95501	10.8728	2.82843	
